brands,items,avg_ratings,ratings,past_months_sales,prices,markup_prices
OQQ,Women's Flared Pants High Waisted Yoga Leggings Stretchy Bell Buttom Wide Leg,4.0 out of 5 stars,11,,$25.99 ,
Trendy Queen,Womens Flannel Shacket Jacket Casual Plaid Button Down Long Sleeve Shirt Fall Clothes Outfits,4.4 out of 5 stars,"4,129",1K+ bought in past month,$29.97 ,$42.99 
Dokotoo,Women's Oversized Denim Jacket Casual Long Boyfriend Distresse Jean Jacket Autumn Spring,4.3 out of 5 stars,"4,409",500+ bought in past month,$46.96 ,
AUTOMET,Womens Sweatshirts Half Zip Cropped Pullover Fleece Quarter Zipper Hoodies Fall outfits Clothes Thumb Hole,4.5 out of 5 stars,"3,072",3K+ bought in past month,$32.99 ,$52.99 
Saloogoe,Sweatshirts for Women Crewneck Cable Knit Sleeve Sweaters Lightweight Fashion 2024,4.3 out of 5 stars,"1,494",900+ bought in past month,$24.99 ,$29.99 
Casly Lamiit,Women's 2 Piece Outfits Zip Up Sweatshirt Contrast Striped Wide Leg Sweatpants Suits Jogger Travel Matching Set,4.5 out of 5 stars,49,100+ bought in past month,$46.99 ,$56.99 
YETOWA,Women's 2 Piece Lounge Outfits Slim Short Sleeve Tops Low Rise Flare Leggings Sets Yoga Sweatsuit,4.3 out of 5 stars,398,500+ bought in past month,$29.99 ,$36.99 
Love Welove Fashion,"Jumpsuits for Women, Floral Off Shoulder Ruffled Short Sleeve High Waist Wide Leg Pants Romper Dressy",4.1 out of 5 stars,"2,027",50+ bought in past month,$27.99 ,$37.99 
ETCYY NEW,Lounge Sets for Women Two Piece Outfits Sweatsuits Sets Long Pant Loungewear Workout Athletic Tracksuits,4.2 out of 5 stars,"2,870",50+ bought in past month,$40.98 ,
AUTOMET,Womens Fall Outfits Fashion Clothes Shackets Flannel Plaid Button Down Long Sleeve Shirts Jackets 2024,4.4 out of 5 stars,"15,641",5K+ bought in past month,$29.99 ,
PRETTYGARDEN,Women's Summer 2 Piece Outfits 2024 Cap Sleeve V Neck Belted Crop Tops Wide Leg Pant Sets Casual Tracksuit,4.1 out of 5 stars,991,500+ bought in past month,$40.99 ,
Dokotoo,Womens Basic Casual V Neck Plaid Print Cotton Cuffed Long Sleeve Work Tops Blouses Shirts S-3XL,4.3 out of 5 stars,"4,467",700+ bought in past month,$28.88 ,$38.99 
Trendy Queen,Womens Oversized Sweatshirts Fall Fashion Hoodies Half Zip Pullover Long Sleeve Shirts Clothes Outfits,4.4 out of 5 stars,"7,573",1K+ bought in past month,$29.99 ,$45.99 
Trendy Queen,Oversized Sweatshirt for Women 2024 Fall Crewneck Striped Long Sleeve Shirts Hoodies Preppy Top Y2K Outfits,4.2 out of 5 stars,178,1K+ bought in past month,$17.99 ,
Saloogoe,Sweatshirts for Women Crewneck Long Sleeve Loose Fit Tops Color Block Ribbed Trim Fashion 2024,4.1 out of 5 stars,51,300+ bought in past month,$23.99 ,
Darong,Women Summer Twist Knot Front Off The Shoulder Tank Tops Cap Sleeve Going Out Shirts Slim Fitted Y2K Outfits,4.3 out of 5 stars,127,,$19.89 ,
WIHOLL,Womens Sweaters Long Sleeve Casual Half Zip Lapel Collar Stripe Pullover Tops Side Slit Sweaters Fashion Clothes,4.2 out of 5 stars,24,,$32.99 ,$36.99 
YETOWA,Women's 2 Piece Lounge Outfits Slim Short Sleeve Tops Low Rise Flare Leggings Sets Yoga Sweatsuit,4.3 out of 5 stars,398,500+ bought in past month,$29.99 ,$36.99 
Disamer,Womens T Shirts 2024 Fashion Tops Long Sleeve Pleated Dressy Casual Button Down Blouses Fall Clothes,4.2 out of 5 stars,39,100+ bought in past month,$19.98 ,
